item_name,inscription_number,inscription_id,list_price
Bitcoin Frog #7869,401086,c40a37d45063003d5cbea936b36e9a980c6ea90b877f165c18ebf3afc806530di0,0.15
Bitcoin Frog #8856,401349,a09f9ca9b08986f8c3bfd00b9655226298710d944fe5ccf7a3c741444459d312i0,0.15
Bitcoin Frog #5320,403364,97e6de2f53adb5f9fbfc5bb2d7d59ef72a0224ff5122e367b15458ed3af9f03fi0,0.15
Bitcoin Frog #672,403770,e7fb52dfef6a9e9ca2e116a526af1db98e62feddd56cd7e22af65876b16d3849i0,0.15
Bitcoin Frog #8899,404812,dd6805cea8be4ea42902cf67973281a1d97523af7bd221eb4be95899484ab263i0,0.15
Bitcoin Frog #1262,405402,5cbf81fd6142728e632093236a553d0401eea4d51630f19fd69fd9c6d8d97972i0,0.15
Bitcoin Frog #9386,405417,bf411f3ea454bef8115bb29743806afd705125c910a2726e241acadfd2fad472i0,0.15
Bitcoin Frog #3261,405686,2b010449380d136a710b3fbe1997b2bb7d95376e64c5304fbaf64351759bdb77i0,0.15
Bitcoin Frog #3831,405901,2b96dcd56970b4471c2273a65938994255a81ce83b5a79e4600277a5e197087bi0,0.15
Bitcoin Frog #9815,406241,171f2d70aed5405b2c194b5a635eba0c1193f63a0d48ba686af0e22c2cfd3c83i0,0.15
Bitcoin Frog #1830,406910,3fda3242a62c05d6a2eb24562398277151c6f8777c3a8b21ff68ea5cc64e8491i0,0.15
Bitcoin Frog #9777,406997,61d028651001589ec0ee7830a57edeebba393088938abc8a52f6018bdf411b94i0,0.15
Bitcoin Frog #4751,407444,22f61a28ec4a6a22a5f896d641205e111ddb2cbde5157f4e5fe356c9572c4e9ei0,0.15
Bitcoin Frog #543,407807,57e6c33b34d22cc0ca9e0d61952fdb5cc3c9418b042bb98b6ea619dd9fd98fa6i0,0.15
Bitcoin Frog #8027,408098,a35530b6706bc9d16c91ea1850c59cb8261b3b694f163391fd6a53ed6933e0adi0,0.15
Bitcoin Frog #7833,408485,057af1f6aabb05b8f28de56b2d3a889bee225f5b517a2bc8a4ce8c957fd8e5b5i0,0.15
Bitcoin Frog #327,408851,eb883522383c955fbcfb74c7962f5019c69c8e0598d3775254cb247b5cf458bfi0,0.15
Bitcoin Frog #3530,409619,9cc5636b672d06137c6b34d381ecdb81dc7f53060661c60069916f04b96d64cci0,0.15
Bitcoin Frog #803,409660,6615b82b9e5b2977969a802a100b498f46664b354d0ea3ae72254b098d8750cdi0,0.15
Bitcoin Frog #4250,409689,fa1c8a2941229ee8f6eb6515e623c87c1ea02e3e2d7572c8e03a2d311b7c02cei0,0.15
Bitcoin Frog #1314,411861,45491b24ceece561cf8f7c2db5ba48181fe3256f5922a66fa51b247412411df2i0,0.15
Bitcoin Frog #8157,412173,d8e1325e6d7085e88475548cad32426a187db74b7340796afdd906a18fcd16fai0,0.15
Bitcoin Frog #4100,411706,52d8ed5f6c00d16acd473495388ff70f3ca1afbc714ef3890abbe2cb12285beei0,0.151
Bitcoin Frog #9683,405499,1257c6b45cb704a653d9090ef875975687d6007fe31e1ad1020b78ba89489074i0,0.152
Bitcoin Frog #2379,408054,7e6ed2b14dead1124cf2f94cf84f7afdae3e7338c69abb63d160065fa363b1aci0,0.1575
Bitcoin Frog #1398,409605,3875810d979bb224374ebef96674c4d261d9559f7625efb109c5061add1610cci0,0.1575
Bitcoin Frog #3478,401209,e23ca8a62e588505e12b9146318d466f5e2a9bb73c360e9c2d80b93a8524e30ei0,0.1588
Bitcoin Frog #9311,402006,690f006c911748b58abae7216591f2265b30782e9506106c771c55a7cc58671di0,0.16
Bitcoin Frog #6810,405453,b164fd18efdf253a172cdf3a8449855e526ddb8d05a88c4817712f49dc32bc73i0,0.16
Bitcoin Frog #9089,408709,14baa710df26ed70993e11d3fc3099654df1c7dccd3295df959b4b20c4eecfbbi0,0.16
Bitcoin Frog #6971,410019,45831d86ea7e9488b1bb63f2dea8efd53ef532a0fe2b4f9e7d4594c042fcbbd6i0,0.16
Bitcoin Frog #4687,404623,b6ecfc6774751ad5d28608b8c007da76a24428d3b518a44980c50ccd612a615ei0,0.165
Bitcoin Frog #3671,409825,dcf33069d84f9f5479fea7b21c04ba13dc4949ee085615eeedac99311f7d3cd1i0,0.165
Bitcoin Frog #7068,403142,2820ad581e88383a122590368cba0276dbac5e734902931edb92dc2580ac993ai0,0.169
Bitcoin Frog #5163,403499,2b190323f17adfc88aa5dfb6f13fb4da38da19656a95e52adb27db492dd44342i0,0.169
Bitcoin Frog #2942,404965,71103871cc7a009b60c46d794bcebfe4067c5c18e7d064ab44cbbbdf38e11668i0,0.169
Bitcoin Frog #4357,409249,84d84ec977082314f7d6729761a0fe11cec4df2a89fdd54cd2eb42a9fe2507c8i0,0.169
Bitcoin Frog #2675,405820,c61171b09a16eb30de75eb458c1543ba63fa2504431d8398ba9d3f8582eefd78i0,0.1699
Bitcoin Frog #2755,409529,684899bf1fa749b82e9595e8d04c87efb4c9b6544b32e35fc7a0634aaf5246cbi0,0.17
Bitcoin Frog #6457,410250,0889856b64b2ce99f47266baee785669d97c7963f49bec0c4c5950dde61057dci0,0.17
Bitcoin Frog #2501,406559,b8f30f2c0bfa11da30e16464103cd8f0685cb888000ce67d5f67c468c3ccfd89i0,0.1713
Bitcoin Frog #3160,406958,9e639e35117d0eff536bb90f05d44106cd695f8c7b5368342f8ba0039bfdb892i0,0.1719
Bitcoin Frog #6827,404455,05b03dc2222da380c966e1aa2044cbde1e0ca9f1558f440e6bb5507a8ac9735ai0,0.174
Bitcoin Frog #3102,404550,88baa35538e6b39a375bbb3e792fb1aaa5a7d2e0e699f5871893348857fb855ci0,0.175
Bitcoin Frog #2558,411062,52fbbee4dae48ac24313bb9e57ff2a920ddc6d04497f932f0b246a798a889fdfi0,0.175
Bitcoin Frog #313,411208,9ead729ccee2a88c4279ba33bba8b736c279bdb7f9834b61e88ce069b6adbee2i0,0.175
Bitcoin Frog #667,401494,4530d55db8280d3bc9b0c954e18a4c85457176a3c2379097c705801c92549216i0,0.178
Bitcoin Frog #5945,402028,eb8f500f7a743489b29416f48d65967e1e60bdd95ac7e45028f4aef509ed1a1ei0,0.178
Bitcoin Frog #3229,409926,214e904b352dd7dc2a30466fd07be05050584f9c13ff202ac0feb2aa5694e9d3i0,0.1789
Bitcoin Frog #5246,402811,c1536a2fb234eb63e28316f620939ab6019173840427c62f964bf845efbe3b33i0,0.179
